state,rule,history_days,max_missing_run,missing_rate,_run_id,_computed_at
AR,max_missing_run_exceeded,1576,62,0.013467,7237e5cf-052c-46d4-a921-1d92db9366c3,2026-01-28 11:31:56.732524-05
LA,max_missing_run_exceeded,1579,55,0.011887,7237e5cf-052c-46d4-a921-1d92db9366c3,2026-01-28 11:31:56.732524-05
PR,max_missing_run_exceeded,1579,55,0.011887,7237e5cf-052c-46d4-a921-1d92db9366c3,2026-01-28 11:31:56.732524-05
CA,max_missing_run_exceeded,1545,21,0.004572,7237e5cf-052c-46d4-a921-1d92db9366c3,2026-01-28 11:31:56.732524-05
NV,max_missing_run_exceeded,1578,17,0.003617,7237e5cf-052c-46d4-a921-1d92db9366c3,2026-01-28 11:31:56.732524-05
WV,max_missing_run_exceeded,1552,15,0.004989,7237e5cf-052c-46d4-a921-1d92db9366c3,2026-01-28 11:31:56.732524-05
UT,max_missing_run_exceeded,1506,6,0.001332,7237e5cf-052c-46d4-a921-1d92db9366c3,2026-01-28 11:31:56.732524-05
