budget_frac,k,no_show_rate_none,no_show_rate_all,no_show_rate_risk_policy,no_show_rate_uplift_policy,reduction_vs_none_risk,reduction_vs_none_uplift
0.01,168,0.22036575404782496,0.2734815590473872,0.21906182530594126,0.2183125488927974,0.0013039287418837031,0.0020532051550275765
0.05,838,0.22036575404782496,0.2734815590473872,0.21549674874713587,0.2125645848431151,0.004869005300689094,0.007801169204709857
0.1,1677,0.22036575404782496,0.2734815590473872,0.21167112035893418,0.20700744288241874,0.008694633688890785,0.013358311165406228
0.2,3354,0.22036575404782496,0.2734815590473872,0.20551601829644572,0.19866837987974137,0.01484973575137924,0.021697374168083594
