top_frac,k,captured,precision_at_k,threshold
0.01,201,73,0.36318407960199006,0.3494286102081742
0.05,1007,304,0.3018867924528302,0.23179108027082457
0.1,2015,502,0.2491315136476427,0.19038341536822131
0.2,4030,829,0.20570719602977666,0.14351083032576595
