method,model,target,horizon,q_point,mae,rmse,mape,wape,n
gbrt_quantile,hgb_quantile,inpatient_beds_used,1,0.5,112.30265640203393,193.02317553976624,1.6005117692508422,1.2048451637663833,376
naive_conformal,naive_last,inpatient_beds_used,7,0.5,146.5372340425532,252.93337572015182,2.7317016850891367,1.5445926921013222,376
gbrt_quantile,hgb_quantile,inpatient_beds_used,14,0.5,197.06081930180164,332.8281202219371,3.46105384262793,2.088945865136586,376
gbrt_quantile,hgb_quantile,staffed_adult_icu_bed_occupancy,1,0.5,17.582001670798572,27.998657741875277,3.743751898879015,1.8118720579891203,376
gbrt_quantile,hgb_quantile,staffed_adult_icu_bed_occupancy,7,0.5,21.246594046175538,31.88170943374041,5.0653891481600155,2.142069415612532,376
gbrt_quantile,hgb_quantile,staffed_adult_icu_bed_occupancy,14,0.5,26.26979126562254,43.360811460708575,5.353839308573822,2.66986020577144,376
