top_frac,k,captured,precision_at_k,threshold
0.01,201,73,0.36318407960199006,0.36517045475903925
0.05,1007,300,0.29791459781529295,0.23218551454402306
0.1,2015,514,0.25508684863523573,0.17854408462287003
0.2,4030,799,0.19826302729528536,0.13549416840513492
