prevalence,pr_auc,roc_auc,brier,logloss,mean_p,median_p,prec_top_1,captured_top_1,k_top_1,prec_top_5,captured_top_5,k_top_5,prec_top_10,captured_top_10,k_top_10,prec_top_20,captured_top_20,k_top_20
0.10969832959361756,0.20506460124946227,0.6579458389552201,0.09395742738917397,0.328778575116518,0.11077268982418145,0.0979067019255287,0.325,65,200,0.2894211576846307,290,1002,0.25037406483790525,502,2005,0.20593368237347295,826,4011
0.10549504950495049,0.20160422176104936,0.6596513900427422,0.0907501983890143,0.32003412262998643,0.1122477333654316,0.0982902732739841,0.3564356435643564,72,202,0.28316831683168314,286,1010,0.2495049504950495,504,2020,0.20569306930693068,831,4040
0.10947923927113412,0.21359539601856425,0.6619005655558913,0.0933235783360043,0.3267426115890099,0.11190275747128936,0.09693673886332226,0.365,73,200,0.3237051792828685,325,1004,0.25796812749003983,518,2008,0.20587503111774957,827,4017
0.10977548181998809,0.21888300469177518,0.6681309177375464,0.09330457011255214,0.32644451666910584,0.11204967519132894,0.0983961251550088,0.4129353233830846,83,201,0.31709741550695825,319,1006,0.25235966219572775,508,2013,0.21311475409836064,858,4026
0.10459399056369506,0.2098061387706026,0.6695307080704681,0.08970202136390924,0.31664414871484853,0.11226250113844781,0.098297991043776,0.3582089552238806,72,201,0.2823061630218688,284,1006,0.2429210134128167,489,2013,0.20312888005959773,818,4027
0.10959378556231755,0.2113474097023137,0.6680717987493583,0.09349658650577254,0.3267243885282018,0.11083013646587192,0.0973463284395579,0.40594059405940597,82,202,0.29405940594059404,297,1010,0.24938149430974765,504,2021,0.20658090054428502,835,4042
0.1044031987363017,0.21228417119662207,0.6685268426340829,0.08934710807937957,0.31573878311542386,0.11130170310114405,0.0982947305338079,0.4158415841584158,84,202,0.308300395256917,312,1012,0.24987654320987654,506,2025,0.20661565045667737,837,4051
0.10842654735272185,0.21160469939835322,0.6684578514924584,0.09249613854278874,0.32409269418967884,0.1115108700354161,0.0983461909957124,0.3781094527363184,76,201,0.3044776119402985,306,1005,0.2575832918945798,518,2011,0.2110365398956003,849,4023
0.10547536087605774,0.22586827429361378,0.6717327263322805,0.08961858254847078,0.3162390746135742,0.1113428507513949,0.0973196128580002,0.455,91,200,0.34760956175298807,349,1004,0.2548531607765057,512,2009,0.20433051269288202,821,4018
0.10608791428857514,0.19979425682851795,0.6575106690952985,0.09123207391714934,0.32127982000191885,0.11006577018947758,0.0971617900496215,0.4020100502512563,80,199,0.2935871743486974,293,998,0.2398597896845268,479,1997,0.19904857285928892,795,3994
0.10420611980464467,0.18640939312465327,0.6573008768621598,0.090334437312615,0.318905436575129,0.11138197032629901,0.09828724646474729,0.325,65,200,0.259222333000997,260,1003,0.22731804586241275,456,2006,0.19063045103413906,765,4013
0.10684123731947429,0.20275545832552416,0.66856342512657,0.09164640751561602,0.32167762564697816,0.11132398602538916,0.097661450413795,0.34,68,200,0.29,290,1000,0.239880059970015,480,2001,0.20439780109945027,818,4002
0.10646481581932048,0.2088994817998373,0.6757532767500283,0.09099518883171984,0.31937065546175486,0.1117008220409078,0.0976378284002351,0.36633663366336633,74,202,0.3010858835143139,305,1013,0.24222989639861864,491,2027,0.2120838471023428,860,4055
0.10732385968399086,0.2074789503894145,0.6632562896582432,0.09190214086361806,0.32288439110163686,0.11210568996507254,0.0979248985352719,0.36318407960199006,73,201,0.29721669980119286,299,1006,0.24751491053677932,498,2012,0.20645962732919254,831,4025
0.10377358490566038,0.18590969206091928,0.6542336949744356,0.09015269635759829,0.3186752436278192,0.11175479078067892,0.09786064540459415,0.29,58,200,0.26373626373626374,264,1001,0.22466300549176235,450,2003,0.18597104343484772,745,4006
0.10506146419150948,0.2089312468070466,0.676523014935563,0.08991729409055385,0.3163738115065253,0.11130678814964998,0.0978590981312443,0.35,70,200,0.2898406374501992,291,1004,0.2538576406172225,510,2009,0.20980587356893976,843,4018
0.10817236255572066,0.20337734370620253,0.6603151386452786,0.09274293110827711,0.32530133611033185,0.11193119704435933,0.0980203764748182,0.32338308457711445,65,201,0.29633300297324083,299,1009,0.2456661713719663,496,2019,0.20108964834076276,812,4038
0.11116001564945227,0.2073062027044018,0.6653122021505975,0.09481782450200478,0.33046266096118726,0.11316499571930065,0.0986552395493445,0.3480392156862745,71,204,0.312133072407045,319,1022,0.25440313111545987,520,2044,0.20763022743947177,849,4089
0.1070041779306955,0.21143569148884617,0.6684881037838644,0.09136909347714436,0.3210921966906956,0.11219826930914457,0.0984444942183192,0.37438423645320196,76,203,0.30678466076696165,312,1017,0.25467059980334317,518,2034,0.20668468911280413,841,4069
0.1002533657906503,0.19926212383365255,0.6699549999975375,0.0866705476668434,0.308364961498215,0.11169531424872395,0.0980634105640688,0.3482587064676617,70,201,0.2773359840954274,279,1006,0.22962226640159045,462,2012,0.19503105590062111,785,4025
0.10865461049284579,0.22142983025829377,0.6754608097001993,0.092215637250386,0.32286012539338194,0.11145277198531511,0.09786127454280395,0.42786069651741293,86,201,0.3230616302186879,325,1006,0.26043737574552683,524,2012,0.2168944099378882,873,4025
0.10801721153370591,0.20701106997450425,0.658166012667676,0.09251727168640166,0.3249188848287769,0.11135270693765764,0.0978219045837773,0.3465346534653465,70,202,0.3079207920792079,311,1010,0.25383473527956457,513,2021,0.20603512243383626,833,4043
0.10967133353192335,0.21897446103294552,0.6655215831919208,0.09336578205478108,0.3266906033778594,0.11203023494237759,0.0975005196278905,0.4228855721393035,85,201,0.3157894736842105,318,1007,0.25074478649453824,505,2014,0.2035749751737835,820,4028
