model,target,horizon,mae,rmse,mape,wape,n
seasonal_naive_7,inpatient_beds_used,1,166.8377659574468,279.35889274810427,2.557779844654347,1.7899280559117474,376
naive_last,inpatient_beds_used,7,146.5372340425532,252.93337572015182,2.7317016850891367,1.5445926921013222,376
naive_last,inpatient_beds_used,14,204.51063829787233,363.1719157995727,3.6113380711308722,2.167917771591639,376
seasonal_naive_7,staffed_adult_icu_bed_occupancy,1,22.295212765957448,34.97502908611325,6.097037222864075,2.297581003228618,376
ewma_opt,staffed_adult_icu_bed_occupancy,7,23.063582677576466,34.14387825554402,5.33034369389133,2.325257166429478,376
naive_last,staffed_adult_icu_bed_occupancy,14,28.86436170212766,46.44491704319145,5.7538291888285285,2.9335524555290964,376
