model,target,horizon,mae,rmse,mape,wape,n
gbrt_lag,inpatient_beds_used,1,107.57904630184422,178.12433794406388,1.805163143983168,1.154167655619492,376
ridge_fourier,inpatient_beds_used,1,159.25317190964662,287.30311865070036,8.21653268512688,1.7085563257105565,376
ridge_fourier,inpatient_beds_used,7,167.75770792289404,257.9407801420079,6.442759937740858,1.7682695554777887,376
gbrt_lag,inpatient_beds_used,7,162.4440801557504,261.2204541151667,4.171975568662001,1.7122606464022063,376
gbrt_lag,inpatient_beds_used,14,202.8652946040316,339.87333027754266,5.620229480244162,2.1504762836380475,376
ridge_fourier,inpatient_beds_used,14,243.76005871348923,374.51124286816116,10.62392724677903,2.583981780544335,376
gbrt_lag,staffed_adult_icu_bed_occupancy,1,15.35555314222918,24.50948498812724,3.5598746186406136,1.582430612526975,376
ridge_fourier,staffed_adult_icu_bed_occupancy,1,30.316151671277904,43.961597071274696,36.73142879128738,3.124160101189078,376
gbrt_lag,staffed_adult_icu_bed_occupancy,7,21.89589524360947,32.41024919997129,5.844320953968425,2.207531589621273,376
ridge_fourier,staffed_adult_icu_bed_occupancy,7,26.995220972104825,36.66525216868446,23.01720733257884,2.7216426824165056,376
gbrt_lag,staffed_adult_icu_bed_occupancy,14,24.888759080902044,41.5098403447549,6.307862351197796,2.529502681206713,376
ridge_fourier,staffed_adult_icu_bed_occupancy,14,37.70403364552383,54.0412112189662,37.858453190664385,3.8319489488667617,376
